"Patient","bin","logI.avg"
0,3193,0.000614283320241475
0,3195,0.000462786586931777
0,3196,0.018764276689193
0,3197,0.00138345724926026
0,3199,0.00371341711639151
0,3200,0.0207627471104532
0,3201,0.407051292599809
0,3202,1.32916036451738
0,3203,0.00684225912801019
0,3204,0.0397864195275766
0,3205,0.341503795019925
0,3206,3.13554350118893
0,3207,0.0114754402973657
0,3208,0.0125370808222411
0,3209,0.220028447087762
0,3210,1.00027290226844
0,3211,0.0187272418197644
0,3212,0.0103683567317077
0,3213,0.285907301458281
0,3214,0.895645387331115
0,3215,0.00558774917521903
0,3216,0.00724761593993242
0,3217,0.180354952232614
0,3218,0.306571941538606
0,3219,0.00940086325334841
0,3220,0.00897793908545617
0,3221,0.419679079784579
0,3222,0.494867456174616
0,3223,0.00816659465585074
0,3224,0.0232323299197551
0,3225,0.241447139833166
0,3226,0.448496684557658
0,3227,0.0121485958042809
0,3228,0.0120284907803921
0,3229,0.118162740163721
0,3230,0.157278388617952
0,3231,0.0042225894399837
0,3232,0.0153281967900304
0,3233,0.208929862086607
0,3234,0.539457140382663
0,3235,0.00472786521280359
0,3236,0.0584850597128223
0,3237,0.0820048219692667
0,3238,0.0991591859873632
0,3239,0.00662483702966641
0,3240,0.00416546544427861
0,3241,0.249338497142699
0,3242,0.327578585505651
0,3243,0.00677028738468596
0,3244,0.0707376182939727
0,3245,0.149053494914572
0,3246,0.0699653521055894
0,3247,0.00551224027304299
0,3248,0.00411453216742896
0,3249,0.152219947303683
0,3250,0.941623982289649
0,3251,0.00525836240727684
0,3252,0.0109680641420383
0,3253,0.0152549610199824
0,3254,0.31820005071121
0,3255,0.00685861248121186
0,3256,0.0161779241109863
0,3257,0.0634406720036107
0,3258,0.647617277631924
0,3259,0.00557137819779192
0,3260,0.0702520563234965
0,3261,0.331396833951745
0,3262,1.63453738466826
0,3263,0.0106607462973376
0,3264,0.0262917843732311
0,3265,0.659128780327476
0,3266,4.1038434125212
0,3267,0.0193262096797465
0,3268,0.013659360080073
0,3269,0.0584972241214141
0,3270,0.0552162477835728
0,3271,0.0173308972465231
0,3272,0.00298154362518834
0,3273,0.479660138295844
0,3274,0.0389157452851806
0,3275,0.00168451018486986
0,3276,0.00372795528447479
0,3277,0.0913671158788799
0,3278,0.112156270739544
0,3279,0.00193941777842048
0,3280,0.00692230938869518
0,3281,0.0218194695121766
0,3282,0.0275400156020226
0,3283,0.000948110965377249
0,3284,0.0106185905422915
0,3285,0.0243984848728395
0,3286,0.0668301472969596
0,3287,0.00222045909391513
0,3288,0.00978817540510054
0,3289,0.013885046778802
0,3290,1.76548544236514
0,3291,0.00218404713287486
0,3292,0.00954852433005255
0,3293,0.00718732395025672
0,3294,0.0618273285156891
0,3295,0.00615896051872537
0,3296,0.00210601926624503
0,3297,0.00627355588756462
0,3298,0.0811035246495929
0,3299,0.000569111726961843
0,3300,0.03476574038322
0,3301,0.00947176269794182
0,3302,0.189741201114896
0,3303,0.00106205173849833
0,3304,0.032846698610333
0,3305,0.00603006481658445
0,3306,0.0757682879902303
0,3307,0.0037863567577206
0,3308,0.0225213920447611
0,3309,0.0296825873340344
0,3310,2.59031958299808
0,3311,0.00562301299831076
0,3312,0.0103587497017611
0,3313,0.17300357850789
0,3314,0.308123901389007
0,3315,0.00835418042713033
0,3316,0.00366283532700721
0,3317,0.0643928147002354
0,3318,0.354826783173355
0,3319,0.0061338450438662
0,3320,0.0356416455764282
0,3321,0.0613580379484736
0,3322,0.241278724035308
0,3323,0.00523845151885617
0,3324,0.0163361628241902
0,3325,0.0794626823979897
0,3326,2.19801370341846
0,3327,0.0226143339526247
0,3328,0.00545910299881728
0,3329,0.0354191134108015
0,3330,0.125765571420376
0,3331,0.0101177038560244
0,3332,0.430003521756107
0,3333,0.0216300644820952
0,3334,0.0445012319369163
0,3335,0.00178830602462487
0,3336,0.00329341269570748
0,3337,0.095072881976455
0,3338,0.018621424539815
0,3339,0.00201981577232218
0,3340,0.0302699553035576
0,3341,0.00506929519254218
0,3342,0.0140116334430827
0,3343,0.00186284673152537
0,3344,0.0110527098661347
0,3345,0.255002463360267
0,3346,0.965088625740213
0,3347,0.00210650409631488
0,3348,0.00495975287725057
0,3349,0.0343110087346593
0,3350,0.0845509478690328
0,3351,0.00758157646133187
0,3352,0.0185753206016323
0,3353,0.0159367971649876
0,3354,0.128259354633371
0,3355,0.00207230101798591
0,3356,0.238630340439957
0,3357,0.0352932183990475
0,3358,0.568085540519456
0,3359,0.00162888113294455
0,3360,0.00474231230480306
0,3361,0.0194751777273162
0,3362,0.516090867313912
0,3363,0.00111437976939506
0,3364,0.020938498908656
0,3365,0.0907370130613055
0,3366,0.0477374975014955
0,3367,0.00823119636515606
0,3368,0.0480949568759212
0,3369,0.0668178967509986
0,3370,8.75952923577394
0,3371,0.0252847722027196
0,3372,0.0829198987658703
0,3373,0.00898340803694084
0,3374,0.0222491743933007
0,3375,0.0284555969550566
0,3378,0.00100698988376572
0,3379,0.000780639757669276
0,3380,0.0495117218557994
0,3381,0.0119419583703692
0,3382,0.00149392926470537
0,3384,0.04227826265622
0,3385,0.00239760496804068
0,3386,0.00100203617383746
0,3388,0.00734427364014153
0,3389,0.0698240771880915
0,3390,0.119246057323623
0,3391,0.000433755176901348
0,3392,0.00646407531304357
0,3393,0.00860564238380344
0,3394,0.0444412798906536
0,3395,0.00115624305526847
0,3396,0.00308790802064352
0,3397,0.0224798564077215
0,3398,0.126870563311667
0,3399,0.00490914545796225
0,3400,0.00440895792880865
0,3401,0.0142178453105949
0,3402,0.123927625244476
0,3403,0.0020425482613171
0,3404,0.234973810521961
0,3405,0.0128163040797964
0,3406,0.0576328613270867
0,3407,0.000984959222627766
0,3408,0.00707017349098552
0,3409,0.188554299819897
0,3410,0.507965649529846
0,3411,0.00105563082555167
0,3412,0.0131169639126094
0,3413,0.0386221914206783
0,3414,0.138611697937876
0,3415,0.0309931089933547
0,3416,0.00104290106968025
0,3417,0.00667901359047868
0,3418,0.203125689845584
0,3419,0.00626861544303738
0,3420,1.17454092903348
0,3421,0.111101235307277
0,3422,0.331513279721233
0,3423,0.00787885064631333
0,3424,0.0386868948583317
0,3425,0.108376618235661
0,3426,6.15112263585918
0,3427,0.0243320119455804
0,3428,0.0606465095449998
0,3429,0.0574961247718326
0,3430,6.96461089984507
0,3431,0.0410966284408466
0,3432,0.0252019663605833
0,3433,0.00823209502469568
0,3434,0.0334327912945698
0,3435,0.0229734682812144
0,3436,0.0168506267206761
0,3437,0.0101921837394757
0,3438,0.0265900279789011
0,3439,0.0232214569876482
0,3440,0.00197932671465853
0,3441,0.00946569864728645
0,3442,0.0291227400277629
0,3443,0.00180235023619005
0,3444,0.898699448962019
0,3445,0.0498954658451374
0,3446,0.0578636938056929
0,3447,0.0262956880677848
0,3448,0.0010094217802849
0,3449,0.00684409769223256
0,3450,0.0471545710695972
0,3453,0.0493518483029459
0,3454,0.0130415009050268
0,3455,0.00370126214766188
0,3456,0.0259509942846202
0,3457,0.025136059595407
0,3458,3.86591709466866
0,3459,0.0116673142567906
0,3460,0.011346445735339
0,3461,0.00251121666115346
0,3462,0.0183608877799871
0,3463,0.0110481097252362
0,3464,0.00106942136845023
0,3465,0.0118305041118235
0,3466,0.105592751662218
0,3467,0.00215221499702793
0,3468,0.0197925881496419
0,3469,0.0501197648203406
0,3470,2.05286296559776
0,3471,0.00689805264201059
0,3472,0.00572523990456204
0,3473,0.0224613946045013
0,3474,1.26566968686463
0,3475,0.0155733761754735
0,3476,0.0947303572727897
0,3477,0.0877377874737729
0,3478,0.438893040840778
0,3479,0.00620383427714724
0,3480,0.0526628832270709
0,3481,0.0295908921487132
0,3482,7.50049889867711
0,3483,0.05729115676372
0,3484,0.0387287809688176
0,3485,0.00782591650395193
0,3486,0.00491272125920882
0,3487,0.0433741845211218
0,3488,0.00738263561470674
0,3489,0.412130473371821
0,3490,0.804832954557796
0,3491,0.00883941303076515
0,3492,0.992190599137321
0,3493,0.0427639165330802
0,3494,0.150453283629237
0,3495,0.00458224248770481
0,3496,0.00404147643679248
0,3497,0.103465809430986
0,3498,0.521383989668666
0,3499,0.00339634160701084
0,3500,0.425221735787322
0,3501,0.0529185929486868
0,3502,0.18094230082391
0,3503,0.00313188226247689
0,3504,0.02235655432059
0,3505,0.55515271560927
0,3506,0.670269000759242
0,3507,0.00764427922902479
0,3508,0.213215471153449
0,3509,0.203127204407398
0,3510,0.517613216157168
0,3511,0.0153713392842022
0,3512,0.00725697352631247
0,3513,0.0526428477948932
0,3514,0.478116327546705
0,3515,0.00435057463161915
0,3516,0.776124258334651
0,3517,0.0438587833447848
0,3518,4.23948109124809
0,3519,0.0155895367865249
0,3520,0.0101640537142525
0,3521,0.00280064087078997
0,3522,0.0940492100614661
0,3523,0.000548286065074491
0,3524,0.21944425671043
0,3525,0.00545285724630259
0,3526,0.0230480561373062
0,3527,0.000512853848147215
0,3528,0.00369842847081657
0,3529,0.000460685828798587
0,3530,0.0202990539094845
0,3532,0.0094508416735142
0,3533,0.0053456204788499
0,3534,0.0149322576530569
0,3535,0.00192622695659526
0,3536,0.00257350033468491
0,3537,0.0257941007383728
0,3538,0.238493352809019
0,3539,0.00122985625603823
0,3540,0.0148855786129744
0,3541,0.0585579238654987
0,3542,1.69485581024114
0,3543,0.0043471091431021
0,3544,0.0146604205470961
0,3545,0.0651010257213546
0,3546,1.2222691921101
0,3547,0.00417803784966805
0,3548,0.00288673874241798
0,3549,0.00389243706090644
0,3550,0.352174620855203
0,3551,0.00123973011615661
0,3552,0.00262900320093787
0,3553,0.00214061163613793
0,3554,0.159542713354206
0,3555,0.0017093980374208
0,3556,0.135007429962175
0,3557,0.0121936789090434
0,3558,0.114400697317105
0,3559,0.00624164664985059
0,3560,0.0501037833671799
0,3561,0.389097104133949
0,3562,0.451785917000618
0,3563,0.0060235313943334
0,3564,0.760440795380143
0,3565,0.0226630306676001
0,3566,0.0395028209680735
0,3567,0.0029239108042426
0,3568,0.0347748719289453
0,3569,0.00497304938436287
0,3570,1.06954974379795
0,3571,0.00883290306279463
0,3572,0.566538928612482
0,3573,0.00450267386720196
0,3574,0.0893630827654494
0,3575,0.000726740357555074
0,3576,0.0191435468795622
0,3577,0.0295919537311038
0,3578,0.318258609397922
0,3579,0.0036727438053134
0,3580,0.254586495090814
0,3581,0.0377222888345328
0,3582,2.22965167407937
0,3583,0.00600460211646563
0,3584,0.0285675960072424
0,3585,0.00263513050116538
0,3586,0.0463625611448826
0,3588,0.0241410541754165
0,3589,0.0246444634758915
0,3590,0.0747289289943842
0,3591,0.0020631213947864
0,3592,0.0107155245648359
0,3593,0.0699613686506621
0,3594,1.22100690625979
0,3595,0.00272309444771109
0,3596,0.0128503145300156
0,3597,0.040562510716141
0,3598,1.44985946820413
0,3599,0.00861306102907006
0,3600,0.0155052672141592
0,3601,0.0563195164674047
0,3602,1.26348221855556
0,3603,0.00433715783861024
0,3604,0.0272416608476349
0,3605,0.0837273652143151
0,3606,4.34550287946675
0,3607,0.0179769291566613
0,3608,0.0139661431422101
0,3609,0.0116401116397266
0,3610,0.392360249367433
0,3612,0.00861491567905855
0,3613,0.00894056391476298
0,3614,0.111547849046492
0,3616,0.00383784018193891
0,3617,0.0134240000623683
0,3618,0.20330992332368
0,3620,0.00138861748232646
0,3621,0.00235835418039016
0,3622,0.0271582983593478
0,3623,0.000597691810840555
0,3624,0.00544976187462185
0,3625,0.0206421224982221
0,3626,0.189667421270323
0,3627,0.00325486124574031
0,3628,0.239040613799011
0,3629,0.0606274220779839
0,3630,0.250650233672575
0,3631,0.00439537012650764
0,3632,0.106155829772459
0,3633,0.00893398320917591
0,3634,0.368026042600001
0,3635,0.0015902101036607
0,3636,0.0956480448892045
0,3637,0.00770592566286145
0,3638,0.0837959422286854
0,3639,0.00106747177770586
0,3640,0.0722133070875277
0,3641,0.00306502796317393
0,3642,0.00926645324856454
0,3643,0.00109905123765947
0,3644,0.0227319275397998
0,3645,0.00844291760671092
0,3646,0.142176386937918
0,3647,0.00500609223589521
0,3648,0.0071118488967039
0,3649,0.0525518242460454
0,3650,0.817489790258972
0,3651,0.00528848588009614
0,3652,0.408571559443674
0,3653,0.247149025155083
0,3654,2.53223888897467
0,3655,0.00761656321900524
0,3656,0.0367792928445921
0,3657,0.0821106353986582
0,3658,2.94260331987192
0,3659,0.00852376992892799
0,3660,0.0142734640769663
0,3661,0.0245391036802228
0,3662,1.63618282240235
0,3663,0.0086629780208715
0,3664,0.0331997436993706
0,3665,0.03630495903245
0,3666,4.71416577585717
0,3667,0.0155951754789891
0,3668,0.00775454879235733
0,3669,0.00261918471488889
0,3670,0.410495840239722
0,3671,0.00357535423369351
0,3672,0.00284724634727094
0,3673,0.032942707047184
0,3674,0.147260169110426
0,3675,0.000891107300572711
0,3676,0.0120141231990874
0,3677,0.114557140844756
0,3678,1.75933279419334
0,3679,0.00532103521622995
0,3680,0.00805338618861825
0,3681,0.0330120716362163
0,3682,0.585682054816676
0,3683,0.00106469957014186
0,3684,0.00503111165902473
0,3685,0.000505642535408993
0,3686,0.292739294869212
0,3687,0.00245718015767598
0,3688,0.00307010521670458
0,3689,0.00059306565352654
0,3690,0.00253955274494566
0,3692,0.00103205945517328
0,3693,0.00992970692856633
0,3694,0.0665325334566619
0,3696,0.000571512612269439
0,3697,0.00403314140645986
0,3698,0.0963840411977357
0,3700,0.00416288583260002
0,3701,0.0159351638106437
0,3702,0.155397971282798
0,3703,0.00160889930707582
0,3704,0.0159304395582868
0,3705,0.00850273709742956
0,3706,1.10479268522168
0,3707,0.00705839009086009
0,3708,0.0102632924010397
0,3709,0.016413639731001
0,3710,1.07696868327665
0,3711,0.00435256798459231
0,3712,0.0251135171958033
0,3713,0.0142085210170939
0,3714,1.58629653721991
0,3715,0.0111794824743997
0,3716,0.609700419501187
0,3717,0.101488604889944
0,3718,3.89246158298331
0,3719,0.0274417694810037
0,3720,0.021510939904877
0,3721,0.0121298198642496
0,3722,1.87731670602256
0,3723,0.0126174756939266
0,3724,0.0141337235873041
0,3725,0.0676263861847818
0,3726,3.06800571982387
0,3727,0.0167914712023991
0,3728,0.0106052108721301
0,3729,0.0325404357044148
0,3730,5.91786393723457
0,3731,0.0339585707223559
0,3732,0.0120099508898399
0,3733,0.000528515517535228
0,3734,0.064202261788624
0,3736,0.000512853848147215
0,3738,0.0219898444293938
0,3740,0.000477510062122836
0,3741,0.00112674719955406
0,3742,0.0851980369412263
0,3744,0.000652847438246695
0,3745,0.00110270647284829
0,3746,0.0200205356703266
0,3748,0.000549139176791309
0,3749,0.00114383781508317
0,3750,0.0456794043137686
0,3752,0.000504029341034735
0,3753,0.00206119078355876
0,3754,0.0818806987013291
0,3755,0.000581728511779423
0,3756,0.00109941093671385
0,3757,0.0309446344428101
0,3758,0.102109127929205
0,3760,0.0131503311335773
0,3761,0.034525742875763
0,3762,3.16003212573405
0,3763,0.0137104973503078
0,3764,0.00850919470528631
0,3765,0.00736505632332693
0,3766,1.19826476846804
0,3767,0.00508991184399022
0,3768,0.00661613111991333
0,3769,0.00108756267330987
0,3770,0.230401431542633
0,3771,0.00298655364414579
0,3772,0.00624493509780262
0,3773,0.0355810957535063
0,3774,6.68035724639492
0,3775,0.0565272752638185
0,3776,0.0166241427571971
0,3777,0.0312639834148005
0,3778,5.37150498588556
0,3779,0.0430511887365928
0,3780,0.0150096888357586
0,3781,0.0153940242397134
0,3782,0.235441638285422
0,3783,0.00275876930860543
0,3784,0.00361034212753771
0,3785,0.00589399621856874
0,3786,1.08928493970269
0,3787,0.00626650074747568
0,3788,0.00402920900815928
0,3790,0.263908361697506
0,3791,0.000929118596185295
0,3792,0.000525856406657608
0,3793,0.000481150403105085
0,3794,0.0437718142616526
0,3795,0.000531404967253323
0,3797,0.00118816195126201
0,3798,0.0169984162414014
0,3799,0.000460921372417801
0,3801,0.000948920893365131
0,3802,0.0938612909345359
0,3803,0.000644359729033314
0,3805,0.00437702826946771
0,3806,0.565759758851364
0,3807,0.00298270679712339
0,3808,0.0012409706212458
0,3809,0.000527903214554112
0,3810,0.0297207731969251
0,3811,0.000631600392627839
0,3812,0.00152229035643078
0,3813,0.00556767441192371
0,3814,0.871417488261177
0,3815,0.00748170769051554
0,3816,0.00302930482325865
0,3817,0.00672520318266974
0,3818,0.65294853889847
0,3819,0.00220603429686413
0,3820,0.0031046361427386
0,3821,0.0253730269592468
0,3822,4.60874745941095
0,3823,0.0302539103613085
0,3824,0.00687146679826243
0,3825,0.00475452373281882
0,3826,0.627043179790879
0,3827,0.00732560937930682
0,3828,0.00620534602057484
0,3829,0.0304763274167533
0,3830,5.14220022027569
0,3831,0.0418469102652573
0,3832,0.0106708161090266
0,3833,0.0265878339312793
0,3834,3.73206890306947
0,3835,0.0281150546692281
0,3836,0.0214849567788338
0,3837,0.0103121224941289
0,3838,1.03361382994828
0,3839,0.00425522876014473
0,3840,0.00976783242120443
0,3841,0.00796124922941803
0,3842,1.43116319111737
0,3843,0.00752783048759481
0,3844,0.00292082193394457
0,3845,0.00372866288237058
0,3846,0.213990543633796
0,3847,0.00115514096500556
0,3848,0.00262495275693272
0,3849,0.0022909584778644
0,3850,0.136024682596802
0,3852,0.00355666941022939
0,3853,0.00694575250435612
0,3854,0.0418926351215408
0,3855,0.000556048814394775
0,3856,0.000603867596573179
0,3857,0.0597688955600535
0,3858,0.0373305535408317
0,3859,0.00316688214854004
0,3860,0.00761279258706521
0,3861,0.00846073814356419
0,3862,0.856292624475413
0,3863,0.00693685537294441
0,3864,0.000628153267914261
0,3865,0.00454508677370204
0,3866,0.48594785789824
0,3867,0.00120268702806107
0,3868,0.0029373213646829
0,3869,0.0223725973271014
0,3870,3.86687996739772
0,3871,0.0240038129801971
0,3872,0.00610913551906172
0,3873,0.00255042592662588
0,3874,0.192633485204353
0,3875,0.00122904403939668
0,3876,0.00151964403270551
0,3877,0.0125509834106253
0,3878,1.86479109884551
0,3879,0.00879335569047021
0,3880,0.00714029547465154
0,3881,0.0112202925426096
0,3882,1.39249176510224
0,3883,0.0119487717579537
0,3884,0.00759346653039386
0,3885,0.031327097443743
0,3886,5.34946919796031
0,3887,0.0477294858421001
0,3888,0.0109894961155975
0,3889,0.00495877328846899
0,3890,0.0725266416042813
0,3891,0.00109101280454324
0,3892,0.00153518030930654
0,3893,0.0112279311832103
0,3894,1.34185438394369
0,3895,0.00801474948472425
0,3896,0.00106843392755501
0,3897,0.0015349811206502
0,3898,0.197025073990235
0,3899,0.000670098939575254
0,3900,0.00535312484885147
0,3901,0.00122109017486109
0,3902,0.142089920292861
0,3903,0.00123920159117205
0,3904,0.0294568776857096
0,3905,0.0577689440048895
0,3906,5.39447973492227
0,3907,0.0193525879970449
0,3908,0.00516590333072554
0,3909,0.0173179739535925
0,3910,0.010006082974314
0,3911,0.000927562493946143
0,3914,0.054163758783587
0,3915,0.00110206680772623
0,3916,0.000581655633213061
0,3917,0.000613054290046532
0,3918,0.260131811966076
0,3919,0.0017605780816748
0,3921,0.00108644024604081
0,3922,0.0367259269826994
0,3923,0.000564221716131985
0,3924,0.000571149971583619
0,3926,0.115456952087001
0,3927,0.00149270640524868
0,3928,0.00151926170818767
0,3929,0.00339559803042261
0,3930,0.250641988338102
0,3931,0.00170005797200844
0,3932,0.00166653588852762
0,3933,0.00359503934688252
0,3934,0.609722983439505
0,3935,0.0133871620250946
0,3936,0.00209488807607072
0,3937,0.00691096082948739
0,3938,0.97290177586038
0,3939,0.0116512763316979
0,3940,0.00252978138996149
0,3941,0.0205751031443431
0,3942,3.52216482475363
0,3943,0.0362072177715645
0,3944,0.00627569469638616
0,3945,0.0135042605622332
0,3946,1.82471448564356
0,3947,0.0180913782801687
0,3948,0.00508654229468577
0,3949,0.00929302589397321
0,3950,1.30365154652399
0,3951,0.00750183504477998
0,3952,0.0038105449272177
0,3953,0.0125396112106945
0,3954,1.49353681431457
0,3955,0.00597456968570661
0,3956,0.00115993819692793
0,3957,0.00991188462150767
0,3958,0.621508658446451
0,3959,0.0016735775152912
0,3960,0.00130796484089489
0,3961,0.00380967995088439
0,3962,0.19474502551958
0,3963,0.00106884856487178
0,3964,0.000409914545132538
0,3965,0.015297578315768
0,3966,1.88503346983031
0,3967,0.00662652365464535
0,3968,0.00391797123477668
0,3969,0.00985132163031648
0,3970,0.560538951281373
0,3972,0.00171430711630302
0,3973,0.00477914909918691
0,3974,0.0853637183689042
0,3975,0.000498298427560831
0,3977,0.000547628886614213
0,3978,0.0109423994427583
0,3982,0.00958323221102511
0,3985,0.00574802505032427
0,3986,0.0382119807899384
0,3987,0.00117779528674978
0,3988,0.00357247078842293
0,3989,0.356405808507199
0,3990,0.113677884908283
0,3992,0.000450011644359422
0,3993,0.00186469123610886
0,3994,0.103803846968529
0,3995,0.00102612307823187
0,3996,0.000663346191761024
0,3997,0.00373433638428411
0,3998,0.277863379597167
0,3999,0.00470836443098677
0,4000,0.00103159170875966
0,4001,0.00501974073913832
0,4002,0.718324843485919
0,4003,0.00737321672015369
0,4004,0.00178740915278604
0,4005,0.00894625693230265
0,4006,0.646804602440978
0,4007,0.00285273049057135
0,4008,0.00109896178449773
0,4009,0.0026417655177121
0,4010,0.118855818664731
0,4011,0.00231218458233459
0,4012,0.000659085151222603
0,4013,0.00676973753254709
0,4014,0.485583442906175
0,4015,0.00572901208884352
0,4016,0.00104416129480082
0,4017,0.01221277984835
0,4018,0.963558978119281
0,4019,0.00484777855447499
0,4020,0.0030496191761959
0,4021,0.00571769995666506
0,4022,0.00962491954761809
0,4025,0.00178825894180661
0,4026,0.251542927983458
0,4027,0.00426522255527187
0,4028,0.0010377815352154
0,4029,0.0120743445979105
0,4030,1.77613046855187
0,4031,0.0192545486537507
0,4032,0.00331996595512188
0,4033,0.00505271849184311
0,4034,0.033121406312605
0,4035,0.000403135099487649
0,4037,0.000465297349387892
0,4038,0.0472290460757108
0,4039,0.0117915213610477
0,4041,0.000503017891804246
0,4042,0.00688552891640438
0,4043,0.049623158609366
0,4044,0.00116945966574773
0,4045,0.0225388233467549
0,4046,1.74549385671165
0,4047,1.4008716200836
0,4048,0.00542244536788557
0,4049,0.00325039997751419
